Date,Time,"color band (XoYleft, right)",USGSno,Sex,Mate of,Urban_Native,Initial Distance (steps),Initial Distance (m),FID (steps),FID (m),Height,Euc FID,Conspecifics Present,Human Activity,Site,Flew.hop,DistanceTraveled,DistanceFromCover,InOpen.Cover,Vocal,Name,Notes,Stage,MeanFID,VarFID
6/21/2018,12:05,UNB,UNB,M,,Urban,17,8.5,1,0.5,0,0.5,1,1,UCSD,,,,,,,In grass. Scurried to the left in gass. Fabio is the bird that is pesent. At least 10 m from ground,,0.5,
6/22/2018,,UNB,UNB,M,,Native,19,9.5,8,4,0,4,1,1,Angeles,,,,,,,"On path, 1.5 m from cover. One other human in vicinity. Flew 10 m or so to tree. ",,4,
6/22/2018,,UNB,UNB,M,,Native,19,9.5,13,6.5,0,6.5,1,1,Angeles,,,,,,,"Near another junco. One other human present. In ground cover. Flew 5-10 m to a tree. 34.19524, -118.02566",,6.5,
6/24/2018,9:32,UNB,UNB,M,,Urban,13,6.5,2,1,0,1,1,1,UCSD,,,,,,,between bookstore and administrative building by grass. Walked casually to the right a foot or so.,,1,
6/24/2018,10:40,UNB,UNB,F,,Urban,41.5,20.75,1.5,0.75,0,0.75,1,1,UCSD,,,,,,,"in grass courtyard in front of school of engineering and snakeleading to Geisel library. One other hhuman and one other junco in vicinity. In open grass, 10 m from cover. Flew 2 ft to the right",,0.75,
6/24/2018,10:42,UNB,UNB,M,,Urban,17,8.5,1,0.5,0,0.5,1,1,UCSD,,,,,,,"in grass courtyard in front of school of enginering and snakes leading to Geisel library. Flew 20 m o tree. In open grass, 15 m from cover. 3 other humans in vicinity",,0.5,
6/24/2018,11:26,UNB,UNB,M,,Urban,37,18.5,3.5,1.75,0,1.75,0,1,UCSD,,,,,,,by computer science and engineering courtyard with bear. 2 other humans within 5 m.. One of them within 2 m. in grass 3 m from cover. Floew >10 m to cove,,1.75,
6/27/2018,9:27,UNB,UNB,M,,Native,14.5,7.25,5.5,2.75,0,2.75,0,1,Angeles,,,,,,,"flew at least 10 m to cover. One other human in vicinity, out of range that I walked. 34.19573, -118.02633",,2.75,
6/27/2018,9:47,UNB,UNB,F,,Native,27,13.5,5.5,2.75,0,2.75,0,1,Angeles,,,,,,,"on path, 3 m from cover. Flew 5 m to cover. 34.19667, -118.02776",,2.75,
6/29/2018,7:55,UNB,UNB,F,,Urban,11,5.5,5,2.5,0,2.5,0,0,Oxy,,,,,,,"unbanded Mrs. DB/Al, B/Y. On pavement, 3 m rom cover. Flew 5 m to cover. By the theater building",,2.5,
7/4/2018,8:43,UNB,UNB,M,,Urban,14,7,3,1.5,0,1.5,1,0,UCLA,,,,,,,"unbanded fire alarm bird. by fire alarm. Hanging out wit nbanded female fire alarm. On concrete, 5 m from cover. Flew up 2 m to stairwell",,1.5,
7/12/2018,11:14,UNB,UNB,F,,Urban,24,12,1,0.5,0,0.5,1,1,UCSD,,,,,,,"in open area; scurried 1/2 meter forward, 10 m from cover. Minimal human activiy 3-5 humans in walking area. 32.87702, -117.24045",,0.5,
7/12/2018,11:41,UNB,UNB,M,,Urban,10,5,2,1,0,1,1,1,UCSD,,,,,,,"like .5 m from cover, scurried away, one other junco and 3 humans in vicinity. Within 3 m of 32.87424, -117.24198",,1,
7/12/2018,11:42,UNB,UNB,F,,Urban,8,4,3,1.5,0,1.5,1,1,UCSD,,,,,,,"like .5 m from cover, scurried away, one other junco and 3 humans in vicinity. Within 3 m of 32.87424, -117.24198",,1.5,
7/12/2018,12:06,UNB,UNB,U,,Urban,13,6.5,2.5,1.25,0,1.25,1,1,UCSD,,,,,,,".5 m from cover flew 3 m to open area, 1 human in vicinity; fledgling junco in vicinity; 32.87681, -117.23589",,1.25,
7/16/2018,10:24,UNB,UNB,M,,Native,9.5,4.75,1.5,0.75,0,0.75,0,1,Angeles,,,,,,,"on trail path 1.5 m from cover, scurried and then flew 1.5 m to cover, 3 other humans in vicinity, 34.19718, -118.0226",,0.75,
7/17/2018,9:08,UNB,UNB,F,,Urban,16,8,2,1,0,1,1,0,UCLA,,,,,,,"missing an eye, no tail feathers, with banded male. .25 m from cover. Walked a few steps away from cover.",,1,
7/19/2018,8:02,UNB,UNB,F,,Native,9.5,4.75,6.5,3.25,0,3.25,2,1,Angeles,,,,,,,"in parking lot. 2 othr juncos around, one other humna, less than 1/4 m from cover and flew 3 m to cover",,3.25,
7/19/2018,9:48,UNB,UNB,M,,Native,6,3,1,0.5,0.5,0.707106781,0,1,Angeles,,,,,,,by hermit falls; one other human present,,0.707106781,
7/20/2018,8:40,UNB,UNB,U,,Native,31,15.5,9,4.5,0,4.5,1,1,Angeles,,,,,,,"Juvenile; .5 m from cover, flew to cover. With a female adult. Oe other human within 50 ft. 34.16178, -118.03554",,4.5,
7/20/2018,9:58,UNB,UNB,M,,Native,14,7,5,2.5,0.5,2.549509757,1,1,Angeles,,,,,,,"one other human in vicinity, 1. fro cover. Flew up 4 m to cover",,2.549509757,
7/23/2018,16:45,UNB,UNB,F,,Native,20,10,15.5,7.75,0,7.75,1,0,James,,,,,,,"half a m from cover, flew ~7 m to cover. No humans present. 33.80860, -116.7409. f with juvie",,7.75,
7/23/2018,17:14,UNB,UNB,M,,Native,28,14,7,3.5,0,3.5,0,0,James,,,,,,,"8 m fro cover. Flew over 10 m to cover. 33.80906, -116.77530",,3.5,
7/24/2018,15:00,UNB,UNB,F,,Native,10,5,8,4,0,4,0,0,James,,,,,,,"flew 10 m to cover. 4 m from cover. 33.80908, -116.77495",,4,
7/25/2018,9:05,UNB,UNB,M,,Native,23,11.5,10,5,0,5,1,0,James,,,,,,,"in grasses .5 from cover. Flew 10 m to cover. With juvie. 33.80916, -116.77533",,5,
5/31/2019,9:35,UNB,UNB,M,,Urban,20,10,2.5,1.25,0,1.25,0,1,UCSB,Flew,2,2,O,N,Courtyard Café,Unbanded courtyard café in grasses across from Kohn hall; flew 2 m in open above ground,Fledgelings,1.25,
6/14/2019,8:55,UNB,UNB,M,,Urban,13,6.5,2,1,0,1,1,0,UCSB,Hop,0.5,0.5,O,N,Courtyard Café,"Courtyard Café male, surrounded by banded individuals. Scurried half meter then flew meter in open. With female. 34.41493, -119.84068",,1,
6/16/2019,11:20,UNB,UNB,M,,Urban,26,13,2,1,0,1,3,2,UCSD,Flew,0.5,10,O,N,,"unbanded funky legs by sequoia hall; female collecting nesting lining; 2 humans in vicinity; 34.88186, -117.24069; very light drizzle",Nest building,1,
6/18/2019,7:15,UNB,UNB,M,,Urban,11,5.5,4.25,2.125,0,2.125,0,3,UCLA,Flew,3,1,O,N,Flew to cover; 3 other humans no juncos; hershey hall courtyard,,,2.125,
6/19/2019,8:45,UNB,UNB,F,,Native,26,13,10,5,0,5,0,0,Stunt,Flew,10,4,O,N,,unbanded female by where steve beako was caught,,5,
6/20/2019,12:12,UNB,UNB,M,,Urban,15,7.5,1.5,0.75,0,0.75,0,0,Oxy,Hop,0.25,6,O,N,,"34.128604, -118.2104706",,0.75,
6/23/2019,9:43,UNB,UNB,M,,Urban,13,6.5,5,2.5,0,2.5,2,0,UCSD,Flew,0.5,0.5,O,N,,Tailless junco outside admin complex across from bookstore. Individually identifiable this year. Fledglings around,Fledgelings,2.5,
6/11/2018,10:31,UNK,UNK,M,,Native,60,30,3,1.5,0,1.5,,,Angeles,,,,,,,"Maybe banded; 34.196125, -118.023166",,1.5,
6/19/2019,8:20,UNK,UNK,M,,Native,29.5,14.75,15,7.5,0,7.5,0,0,Stunt,Flew,20,1,O,N,,"by where steve beako was caught. Looked unbanded. Based on where birds are, likely Spinoza if banded",,7.5,
6/13/2019,10:21,"HPDB/RW, LGY/Al",,U,,Urban,11.5,5.75,2.5,1.25,0,1.25,,1,UCLA,Hop,2,2,O,N,,"JUVIE. Hopped 2 m (not to cover), open 2 m from cover. Low human activity. 34.07569, -118.44059",Juvenile,1.25,
